team1,team2,team3,score
frc2186,frc620,frc611,60
frc2900,frc1895,frc339,48
frc4821,frc623,frc8590,47
frc9033,frc2028,frc2912,29
frc401,frc1885,frc5549,39
frc122,frc2421,frc612,43
frc619,frc1418,frc3373,70
frc116,frc5338,frc2900,37
frc339,frc9403,frc1731,75
frc1895,frc2912,frc5549,43
frc611,frc3359,frc5587,34
frc9033,frc619,frc8590,43
frc4472,frc620,frc9235,51
frc8230,frc1915,frc1418,30
frc2363,frc539,frc401,79
frc2186,frc623,frc2421,43
frc122,frc1885,frc2028,48
frc5587,frc5243,frc9033,39
frc9403,frc4821,frc5338,54
frc2028,frc9403,frc8590,27
frc3359,frc1731,frc619,95
frc9235,frc539,frc1731,72
frc5549,frc8590,frc612,37
frc116,frc339,frc4472,43
frc8230,frc2028,frc620,46
frc1895,frc623,frc122,70
frc2900,frc2363,frc3373,58
frc619,frc1885,frc1915,40
frc401,frc2421,frc611,40
frc5243,frc4821,frc2186,33
frc3359,frc2912,frc1418,29
frc620,frc8590,frc5338,76
frc5587,frc2028,frc5549,65
frc9033,frc2363,frc2421,54
frc122,frc339,frc9235,43
frc116,frc612,frc619,30
frc401,frc5243,frc623,52
frc2912,frc2186,frc3373,32
frc1895,frc4472,frc1731,94
frc9403,frc1418,frc1885,60
frc8230,frc611,frc4821,28
frc5338,frc539,frc1418,56
frc2912,frc116,frc1885,17
frc3359,frc2900,frc620,41
frc539,frc1915,frc623,52
frc339,frc3373,frc2421,45
frc2912,frc5338,frc5243,42
frc4472,frc5587,frc619,35
frc1418,frc2363,frc2028,66
frc8590,frc401,frc1915,27
frc611,frc9033,frc1895,46
frc5549,frc9235,frc116,47
frc2900,frc1885,frc4821,26
frc539,frc3359,frc8230,39
frc1731,frc2186,frc122,83
frc9403,frc401,frc9033,64
frc612,frc620,frc5587,36
frc1885,frc5338,frc339,35
frc2912,frc1915,frc2900,19
frc623,frc9235,frc1418,60
frc2421,frc5549,frc4472,58
frc1895,frc8590,frc2186,21
frc8230,frc116,frc2363,59
frc401,frc4472,frc8230,49
frc2421,frc9235,frc4821,40
frc612,frc3359,frc2028,25
frc611,frc122,frc9403,47
frc5243,frc1731,frc3373,77
frc4821,frc619,frc539,57
frc8590,frc5587,frc116,70
frc1915,frc9033,frc9235,53
frc2186,frc5549,frc8230,48
